Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
265,5.66,3.793,0.1333,9.213,4.033,8.36,22.46,7.664614286
266,5.34,4.173,0.1067,8.66,3.913,7.693,23.133,7.5741
267,5.547,4.993,0.0933,9.033,4.307,6.847,22.647,7.638185714
268,5.753,5.9,0.0933,9.64,5.187,6.373,21.787,7.819042857
269,5.693,6.047,0.0667,9.76,5.48,6.787,22.06,7.984814286
270,5.433,5.287,0.1133,10.04,5.067,7.34,22.6,7.9829
271,5.407,4.66,0.1467,10.96,4.493,7.587,22.56,7.973385714
272,5.293,4.047,0.3533,12.353,4.007,7.913,22.573,8.077042857
273,5.3,4.047,0.2733,12.753,3.633,7.207,21.733,7.849471429
274,5.767,4.353,0.2133,13.4,3.507,6.547,20.847,7.8049
275,5.953,4.193,0.28,14.3,3.68,6.293,20.547,7.892285714
276,5.913,4.56,0.2267,14.527,4.153,6.633,20.633,8.092242857
277,6.44,5.213,0.1867,13.787,4.02,7.093,20.953,8.241814286
278,6.9,5.687,0.1733,12.673,3.853,7.18,20.713,8.168471429
279,6.72,5.747,0.16,12.647,3.607,7.08,20.54,8.071571429
280,6.993,6.533,0.2533,12.22,4.787,7.733,20.233,8.393185714
281,6.293,6.04,0.2867,11.053,5.293,7.593,20.827,8.197957143
282,5.893,6.267,0.2933,11.293,5.02,7.553,21.347,8.238042857
283,6.467,6.447,0.2333,13.147,3.947,7.527,20.68,8.349757143
284,6.993,6.013,0.1667,15.087,3.367,7.34,19.8,8.395242857
285,7.013,6.32,0.12,16.313,3.353,7.193,20.693,8.715
286,6.033,6.047,0.1267,15.593,3.293,7.4,21.427,8.559957143
287,5.453,4.873,0.1533,13.953,2.913,7.5,20.633,7.925471429
288,6.04,4.36,0.14,13.04,4.567,8.78,20.373,8.185714286
289,5.953,4.3,0.2133,12.187,4.413,8.707,19.72,7.927614286
290,5.7,4.633,0.3067,10.94,4.16,8.7,19.213,7.664671429
291,5.4,5.213,0.3067,9.707,4.04,8.333,19.567,7.509528571
292,5.207,5.727,0.22,8.027,3.947,7.827,19.713,7.238285714
293,5.48,5.64,0.1133,7.667,4.133,7.413,20.147,7.227614286
294,5.807,5.147,0.1867,9.087,4.647,7.167,20.053,7.4421
295,5.953,4.707,0.22,11.153,5.173,7.133,19.393,7.676
296,6.32,5.42,0.16,16.527,6.273,7.64,20.88,9.031428571
297,6.607,5.44,0.1333,17.9,5.693,7.313,21.627,9.244757143
298,6.46,5.14,0.1333,18.093,4.567,7.053,21.38,8.975185714
299,6.173,5.033,0.1733,17.12,3.613,7.093,19.747,8.421757143
300,6.287,5.1,0.1267,15.947,3.193,6.96,18.767,8.054385714
301,6.5,4.813,0.1067,14.24,3.487,6.613,19.293,7.864671429
302,6.853,4.513,0.1467,12.053,4.307,6.673,19.64,7.740814286
303,7.087,4.58,0.2267,10.947,5.22,7.207,19.3,7.795385714
304,7.307,5.927,0.0933,9.407,6.66,8.533,19.987,8.273471429
305,8.327,5.373,0.12,9.067,6.453,8.653,20.927,8.417142857
306,8.52,5.093,0.2,9.66,6.127,8.667,21.02,8.469571429
307,8.193,5.127,0.2467,11.067,5.927,8.273,20.16,8.427671429
308,8.187,5,0.22,11.773,5.42,8.22,19.58,8.342857143
